time,frametime,MsDeltaBetweenFrames,LoadMarker,TestMarker
55.678629,15.0159,0.5166,0,0.1
55.6943235,15.6945,0.6786,0,0.1
55.7093487,15.0252,0.6693,0,0.1
55.7240227,14.674,0.3512,0,0.1
55.7387603,14.7376,0.0636,0,0.1
55.7539161,15.1558,0.4182,0,0.1
55.7688038,14.8877,0.2681,0,0.1
55.7834685,14.6647,0.223,0,0.1
55.7986032,15.1347,0.47,0,0.1
55.8128551,14.2519,0.8828,0,0.1
55.8274264,14.5713,0.3194,0,0.1
55.8417414,14.315,0.2563,0,0.1
55.8566992,14.9578,0.6428,0,0.1
55.8715258,14.8266,0.1312,0,0.1
55.8863138,14.788,0.0386,0,0.1
55.9014095,15.0957,0.3077,0,0.1
55.9161092,14.6997,0.396,0,0.1
55.9308913,14.7821,0.0824,0,0.1
55.9452725,14.3812,0.4009,0,0.1
55.9605528,15.2803,0.8991,0,0.1
55.9753926,14.8398,0.4405,0,0.1
55.9905361,15.1435,0.3037,0,0.1
56.0045494,14.0133,1.1302,0,0.1
56.0196411,15.0917,1.0784,0,0.1
56.034955,15.3139,0.2222,0,0.1
56.0503221,15.3671,0.0532,0,0.1
56.0646054,14.2833,1.0838,0,0.1
56.0797099,15.1045,0.8212,0,0.1
56.094431,14.7211,0.3834,0,0.1
56.1088671,14.4361,0.285,0,0.1
56.1240311,15.164,0.7279,0,0.1
56.1385686,14.5375,0.6265,0,0.1
56.1534355,14.8669,0.3294,0,0.1
56.1685398,15.1043,0.2374,0,0.1
56.1830951,14.5553,0.549,0,0.1
56.1979631,14.868,0.3127,0,0.1
56.2134447,15.4816,0.6136,0,0.1
56.2284234,14.9787,0.5029,0,0.1
56.2432797,14.8563,0.1224,0,0.1
56.2586808,15.4011,0.5448,0,0.1
56.2731255,14.4447,0.9564,0,0.1
56.288548,15.4225,0.9778,0,0.1
56.3037501,15.2021,0.2204,0,0.1
56.3194698,15.7197,0.5176,0,0.1
56.3338334,14.3636,1.3561,0,0.1
56.3486844,14.851,0.4874,0,0.1
